목표,밴드,R1,R2p,R3제외,실제Sharpe,실제MDD,실제CAGR,합성MDD,합성CAGR,c1_합성MDD>-60,c2_Sharpe>SOXX,c3_CAGR>현금,판정
0.2,0.1,0.85,-0.4,False,0.72,-19.9,11.8,-24.8,9.9,True,False,True,REJECT
0.2,0.1,0.85,-0.4,True,0.71,-22.8,11.8,-24.8,9.8,True,False,True,REJECT
0.2,0.1,0.85,-0.5,False,0.72,-19.9,11.9,-27.0,10.1,True,False,True,REJECT
0.2,0.1,0.85,-0.5,True,0.73,-20.4,12.1,-27.0,10.0,True,False,True,REJECT
0.2,0.1,1.0,-0.2,False,0.63,-24.3,10.8,-25.7,9.1,True,False,True,REJECT
0.2,0.1,1.0,-0.2,True,0.67,-20.4,11.0,-25.7,9.0,True,False,True,REJECT
0.2,0.1,1.0,-0.3,False,0.72,-22.8,12.0,-25.2,9.5,True,False,True,REJECT
0.2,0.1,1.0,-0.3,True,0.73,-22.8,12.1,-25.2,9.4,True,False,True,REJECT
0.2,0.1,1.0,-0.4,False,0.72,-19.9,11.8,-24.8,9.9,True,False,True,REJECT
0.2,0.1,1.0,-0.4,True,0.71,-22.8,11.8,-24.8,9.8,True,False,True,REJECT
0.2,0.1,1.0,-0.5,False,0.72,-19.9,11.9,-27.0,10.1,True,False,True,REJECT
0.2,0.1,1.0,-0.5,True,0.73,-20.4,12.1,-27.0,10.0,True,False,True,REJECT
0.2,0.15,0.6,-0.2,False,0.57,-29.8,10.1,-27.1,7.9,True,False,True,REJECT
0.2,0.15,0.6,-0.2,True,0.58,-29.8,10.9,-27.1,8.2,True,False,True,REJECT
0.2,0.15,0.6,-0.3,False,0.57,-29.8,10.1,-27.8,8.0,True,False,True,REJECT
0.2,0.15,0.6,-0.3,True,0.58,-29.8,10.9,-27.8,8.4,True,False,True,REJECT
0.2,0.15,0.6,-0.4,False,0.57,-29.8,10.1,-29.2,8.0,True,False,True,REJECT
0.2,0.15,0.6,-0.4,True,0.58,-29.8,10.9,-29.2,8.3,True,False,True,REJECT
0.2,0.15,0.6,-0.5,False,0.57,-29.8,10.1,-28.3,8.9,True,False,True,REJECT
